Lat,Long,Venue_Type,Venue_Name,Created_On_Epoch,Created_On,Quarter,Year,Month
46.06341243,14.54476118,default,Chutys BTC,1571647832,10/21/2019,Quarter 4,2019,10
46.06363576,14.54498649,default,Roma Pinsa BTC,1571648295,10/21/2019,Quarter 4,2019,10
56.30152127,38.11992466,trezor retailer,mblradio,1542132797,11/13/2018,Quarter 4,2018,11
37.65980032,126.770913,default,TRC가맹점♥미소연세,1542216644,11/14/2018,Quarter 4,2018,11
31.83186528,54.37652528,default,a.a javad institue,1542345354,11/16/2018,Quarter 4,2018,11
50.4611104,-4.820659161,default,Dylan Cotton Artworks,1542238358,11/14/2018,Quarter 4,2018,11
37.51738078,126.8951046,default,연습,1542248420,11/15/2018,Quarter 4,2018,11
-33.87089659,151.2061214,default,Independent Reserve,1542252573,11/15/2018,Quarter 4,2018,11
50.2800947,8.542374372,default,MS HoofCare,1542292252,11/15/2018,Quarter 4,2018,11
43.6287175,3.81967485,food,Comptoir Numidien,1545562257,12/23/2018,Quarter 4,2018,12
10.48331245,-66.87821031,default,Logística Transofi C.A,1537459011,9/20/2018,Quarter 3,2018,9
46.05021578,14.51324522,cafe,Cona 13,1571648644,10/21/2019,Quarter 4,2019,10
46.02011785,14.53624785,default,Old Truck,1571648888,10/21/2019,Quarter 4,2019,10
49.22212053,18.73888314,cafe,Shisha Point,1537472539,9/20/2018,Quarter 3,2018,9
-31.98051468,-64.55414057,lodging,Cabañas Villa Buriasco,1534878255,8/21/2018,Quarter 3,2018,8
45.96870273,14.88171101,cafe,Furman Bar,1571649323,10/21/2019,Quarter 4,2019,10
42.06336461,19.50737357,cafe,Bar Lira,1574094803,11/18/2019,Quarter 4,2019,11
45.98395038,14.57505405,cafe,Špica Bar,1571649712,10/21/2019,Quarter 4,2019,10
49.31485565,-123.0714011,default,"Ken Berry, MSc.",1574106691,11/18/2019,Quarter 4,2019,11
18.85811775,-97.0971036,cafe,Buffalo Snacks and coffee,1577129920,12/23/2019,Quarter 4,2019,12
46.00533848,8.950123787,default,TopLife Concierge,1535004023,8/23/2018,Quarter 3,2018,8
46.04655962,14.50747311,food,EL Patron,1574156706,11/19/2019,Quarter 4,2019,11
46.1620137,14.56470072,shopping,Ohladi.se,1574157306,11/19/2019,Quarter 4,2019,11
10.25003887,-67.6220727,default,Azukar,1537484967,9/20/2018,Quarter 3,2018,9
46.16577367,14.57126677,cafe,Teater bar,1574157692,11/19/2019,Quarter 4,2019,11
46.07273938,14.4861871,default,KIKANI,1574157910,11/19/2019,Quarter 4,2019,11
46.06345337,14.54515815,food,TOP DUNAJ'C,1574158114,11/19/2019,Quarter 4,2019,11
46.05590431,14.50197458,food,TACO POLAKO,1574159262,11/19/2019,Quarter 4,2019,11
51.51521925,-0.4211604595,default,Frame Freezer - Wedding and Event Photographers,1533799298,8/9/2018,Quarter 3,2018,8
46.0393136,14.47647214,shopping,"Tomas Sport, Interspar Vič",1574159643,11/19/2019,Quarter 4,2019,11
46.02173452,14.53545392,default,"Tomas Sport, Supernova Ljubljana",1574159985,11/19/2019,Quarter 4,2019,11
39.40765353,-88.79090309,default,Gaddis Graphics,1534969697,8/22/2018,Quarter 3,2018,8
46.01854212,14.53495502,default,"Tomas Sport Outlet, Rudnik",1574160074,11/19/2019,Quarter 4,2019,11
46.13826274,14.5982337,default,ASM-INŽENIRING,1574166450,11/19/2019,Quarter 4,2019,11
46.13758994,14.58974183,cafe,Kavarna Flerin,1574166618,11/19/2019,Quarter 4,2019,11
46.13823301,14.59842145,default,Enis - gradnja,1574166743,11/19/2019,Quarter 4,2019,11
-34.94411429,138.6133271,atm,Lunch on 107,1533862497,8/10/2018,Quarter 3,2018,8
-34.94409231,138.613134,cafe,Lunch on 107,1533862508,8/10/2018,Quarter 3,2018,8
48.16066815,16.33725464,default,Der Profi für Haus und Garten,1552381940,3/12/2019,Quarter 1,2019,3
47.96257507,15.55487573,default,Der Profi für Haus und Garten,1552382212,3/12/2019,Quarter 1,2019,3
46.13822557,14.59787965,default,GP ASLANI,1574166887,11/19/2019,Quarter 4,2019,11
48.21347817,16.35140061,default,Schilddruesenpraxis Josefstadt - Thyroid Center Vienna,1552403715,3/12/2019,Quarter 1,2019,3
55.67595405,37.62501955,trezor retailer,Cryptonist.ru,1552475764,3/13/2019,Quarter 1,2019,3
46.09123604,11.12036884,default,Alps Blockchain srl,1552490451,3/13/2019,Quarter 1,2019,3
29.72870526,-95.36531925,atm,Athena Bitcoin ATM,1552510146,3/13/2019,Quarter 1,2019,3
4.629048753,-74.07492578,food,Andante Ma Mon Troppo,1552568204,3/14/2019,Quarter 1,2019,3
46.23017336,15.26193559,default,HeadShop Celje,1552659195,3/15/2019,Quarter 1,2019,3
46.42945703,15.88766813,default,HeadShop Ptuj,1552659613,3/15/2019,Quarter 1,2019,3
46.56038737,15.65462708,default,HeadShop Partizanska,1552659009,3/15/2019,Quarter 1,2019,3
46.56382496,15.63131332,default,HeadShop Turnerjeva,1552659091,3/15/2019,Quarter 1,2019,3
43.71986551,10.39721847,cafe,Pasticceria Dolce Pisa,1552765410,3/16/2019,Quarter 1,2019,3
-25.28832778,-57.62363434,lodging,Habitat Hostel Asunción,1565036849,8/5/2019,Quarter 3,2019,8
-21.75706342,-41.33219719,sports,TRÍADE Studio Coreográfico,1565046361,8/5/2019,Quarter 3,2019,8
19.45240964,-99.21868801,shopping,Organico Mercado,1565071564,8/6/2019,Quarter 3,2019,8
48.14505722,17.11375952,atm,BITCOINMAT,1565074993,8/6/2019,Quarter 3,2019,8
46.05205121,14.50460851,shopping,"Tomas Sport, Čopova Ljubljana",1574168554,11/19/2019,Quarter 4,2019,11
46.06337521,14.54521179,default,TOP DUNAJ'C - DOSTAVA,1574168826,11/19/2019,Quarter 4,2019,11
46.05215173,14.50895369,shopping,Horacij local food drink design,1574169440,11/19/2019,Quarter 4,2019,11
46.16359277,14.56955552,default,Horacij prodajalna & kavarna,1574171622,11/19/2019,Quarter 4,2019,11
45.22789122,13.59824181,shopping,Marley Tattoo and Piercing  Studio,1552559487,3/14/2019,Quarter 1,2019,3
50.39352717,4.28134203,food,Leroy Eric,1552684548,3/15/2019,Quarter 1,2019,3
-2.87487737,-78.98593247,grocery,Glu,1533875256,8/10/2018,Quarter 3,2018,8
48.75957668,21.91609383,atm,ATM wBTCb ,1539091688,10/9/2018,Quarter 4,2018,10
53.56080026,9.966729283,grocery,Ackerglück e.V.,1552854113,3/17/2019,Quarter 1,2019,3
46.24217311,14.37043905,default,Salon razvajanja,1565096583,8/6/2019,Quarter 3,2019,8
46.66657898,16.16882265,default,Računalniška trgovina PIKANET,1565097478,8/6/2019,Quarter 3,2019,8
44.79756893,20.48798328,shopping,BizNet doo,1552892982,3/18/2019,Quarter 1,2019,3
50.07862159,14.41742063,default,Doučování ekonometrie s Koljou,1533893210,8/10/2018,Quarter 3,2018,8
-33.5980035,-70.70762694,shopping,Mario Moreno Marmor,1533918265,8/10/2018,Quarter 3,2018,8
46.06361342,14.55701351,default,Sanje,1552919484,3/18/2019,Quarter 1,2019,3
47.10942865,37.53003716,default,cryptomutiqa,1533932435,8/10/2018,Quarter 3,2018,8
10.05689226,-69.37245011,default,PRM voz y datos F.P,1530735074,7/4/2018,Quarter 3,2018,7
47.10965137,37.53492951,default,cryptomuytiqa,1533934641,8/10/2018,Quarter 3,2018,8
47.08286813,37.5376761,default,cryptomutiqa home ,1533935026,8/10/2018,Quarter 3,2018,8
7.893739443,98.29607248,atm,Kangaroo Bar Phuket,1545674183,12/24/2018,Quarter 4,2018,12
45.70699595,13.87646198,default,Cvetličarna Katja,1574172254,11/19/2019,Quarter 4,2019,11
46.06355015,14.50825095,food,Pizza place,1574172696,11/19/2019,Quarter 4,2019,11
36.15935838,-82.82770917,default,The Helpful Company,1534004777,8/11/2018,Quarter 3,2018,8
46.0386098,14.46793199,cafe,"Espresso trgovina in gostinstvo d.o.o., Ljubljana",1542707021,11/20/2018,Quarter 4,2018,11
52.51343294,13.29326391,default,r0g_agency for open culture,1530720352,7/4/2018,Quarter 3,2018,7
-30.02577011,-51.20373487,default,Labbro Clínica Oontológica,1552931376,3/18/2019,Quarter 1,2019,3
53.91572025,27.57178903,shopping,Porto-Porto,1535027499,8/23/2018,Quarter 3,2018,8
7.772449733,-72.22625077,default,Arquitecto Necari Gutierrez,1530741557,7/4/2018,Quarter 3,2018,7
46.06362087,14.50868011,food,Okrepčevalnica PRI PODKVICI,1574172846,11/19/2019,Quarter 4,2019,11
46.05536452,14.56735611,default,Avtodomar.si,1547050089,1/9/2019,Quarter 1,2019,1
41.02468997,28.82875264,default,Kartal,1547596842,1/16/2019,Quarter 1,2019,1
7.77401238,-72.22011924,cafe,Coffe Break San Cristobal,1530741935,7/4/2018,Quarter 3,2018,7
46.24642472,15.26183367,cafe,Aros bar,1547720998,1/17/2019,Quarter 1,2019,1
7.887251502,-72.49839306,atm,IXORA CAFE,1565112196,8/6/2019,Quarter 3,2019,8
7.817594058,-72.45358944,atm,IAN CELL ,1565112096,8/6/2019,Quarter 3,2019,8
8.990145847,-79.50630784,shopping,hotSale Panamá,1565137331,8/7/2019,Quarter 3,2019,8
7.800417041,-72.20282435,transport,CAVENCA,1530742374,7/4/2018,Quarter 3,2018,7
35.36593069,24.47836811,shopping,Habit fashion,1552986280,3/19/2019,Quarter 1,2019,3
46.0522113,14.51286435,default,Vape on Shop,1552997577,3/19/2019,Quarter 1,2019,3
46.05254636,14.50952232,default,Hiša sanjajočih knjig,1552997653,3/19/2019,Quarter 1,2019,3
48.11172585,15.34041166,shopping,Haushalt & Mehr,1553009160,3/19/2019,Quarter 1,2019,3
4.124187374,-73.6209029,grocery,Supermercado La Esquina del Movimiento,1530745890,7/4/2018,Quarter 3,2018,7
7.812640857,-72.44129419,food,PatanBurguerS,1530747864,7/4/2018,Quarter 3,2018,7
7.817806641,-72.44264603,default,Super Moto AG CA,1530748169,7/4/2018,Quarter 3,2018,7
-3.89343978,-45.17070651,default,Aristóteles,1553019906,3/19/2019,Quarter 1,2019,3
45.70759907,13.87007833,sports,Pole Dancing Stars Sežana,1574174568,11/19/2019,Quarter 4,2019,11
46.06767786,14.54185903,cafe,Minicity Kavarnica,1574174744,11/19/2019,Quarter 4,2019,11
46.5567725,15.65195024,default,Zaklenjen.si,1574175063,11/19/2019,Quarter 4,2019,11
46.62403596,16.22735381,cafe,Steffi bar,1574175886,11/19/2019,Quarter 4,2019,11
40.03876599,-75.03441095,atm,Athena Bitcoin Inc.,1553027547,3/19/2019,Quarter 1,2019,3
32.61177004,-117.0683491,shopping,Krypto Threadz,1565156371,8/7/2019,Quarter 3,2019,8
46.55768362,15.64323843,shopping,ArmaMaxa OPTIKA · GALERIJA,1574176077,11/19/2019,Quarter 4,2019,11
49.20278359,16.62275434,default,DENKER US CARS,1579469497,1/19/2020,Quarter 1,2020,1
-33.76259454,151.2762237,cafe,Surfside Garage,1553040320,3/20/2019,Quarter 1,2019,3
8.212976958,-72.25372732,default,Fabrica de Estantillos Plasticos Ecologicos,1530750133,7/5/2018,Quarter 3,2018,7
9.045219739,-69.74333525,default,Electro Shop Morandin C.A,1530750929,7/5/2018,Quarter 3,2018,7
41.39150746,2.159156799,atm,Bitcoin ATM Copyfel,1539099157,10/9/2018,Quarter 4,2018,10
41.35963015,2.13661015,atm,BitBase ,1539097387,10/9/2018,Quarter 4,2018,10
27.76316693,-15.60082197,default,ChristianPianta.com,1535141174,8/24/2018,Quarter 3,2018,8
-31.71860319,-60.52949667,sports, Stand Up Paddle - SUP Paraná,1535148033,8/24/2018,Quarter 3,2018,8
-33.87429051,151.2170327,cafe,Village Cafe,1553040850,3/20/2019,Quarter 1,2019,3
4.128045095,-73.61477137,shopping,Crocs Archie Shoes,1534032482,8/12/2018,Quarter 3,2018,8
4.615320247,-74.10307825,shopping,M&S TECNOLOGÍA,1539894609,10/18/2018,Quarter 4,2018,10
56.56784753,9.024748206,shopping,HighHouse.dk,1553056268,3/20/2019,Quarter 1,2019,3
9.34558432,-70.46345472,grocery,El Sabor a Montaña,1530751661,7/5/2018,Quarter 3,2018,7
49.18976422,16.6137743,atm,ATM bitcoinmat,1553075856,3/20/2019,Quarter 1,2019,3
49.19164337,16.61254585,atm,ATM bitcoinmat,1553075944,3/20/2019,Quarter 1,2019,3
9.348400299,-70.4618454,grocery,Inversiones Monumento a la Paz,1530751448,7/5/2018,Quarter 3,2018,7
38.81604578,-9.099388719,default,PJRIB,1553075995,3/20/2019,Quarter 1,2019,3
-44.99397826,168.747983,sports,support Btc,1535174713,8/25/2018,Quarter 3,2018,8
-44.99361407,168.7488413,sports,support Btc,1535174806,8/25/2018,Quarter 3,2018,8
-34.63536627,-58.52895498,default,Nuevas Redes Digitales,1553093135,3/20/2019,Quarter 1,2019,3
27.34957516,-82.54644692,shopping,New Modern Contemporary Art,1574178304,11/19/2019,Quarter 4,2019,11
43.33083208,11.32282197,atm,Shitcoins Club,1565173348,8/7/2019,Quarter 3,2019,8
45.50389186,9.137406349,shopping,Rockerchain S.r.l.,1553099096,3/20/2019,Quarter 1,2019,3
4.576537229,-74.08863187,grocery,cigarreria punto S,1553113391,3/20/2019,Quarter 1,2019,3
46.06599927,14.4700402,cafe,Kavarna Lokus,1565184749,8/7/2019,Quarter 3,2019,8
4.674038818,-74.06928241,shopping,TEXERE DECORACIONES S.A.S ,1530767633,7/5/2018,Quarter 3,2018,7
44.80818165,10.31390905,default,Cript-On.it,1530787313,7/5/2018,Quarter 3,2018,7
46.09367277,14.5726347,default,Tehno Kar,1565184991,8/7/2019,Quarter 3,2019,8
45.96294929,14.66002107,default,Eltok,1565185480,8/7/2019,Quarter 3,2019,8
18.42348134,-64.62040186,default,Surfshark,1530787475,7/5/2018,Quarter 3,2018,7
22.40366383,-79.96200979,lodging,Hostal Aliana,1530802072,7/5/2018,Quarter 3,2018,7
58.58969665,49.67130303,shopping,Матрица / Matrix,1530804365,7/5/2018,Quarter 3,2018,7
33.07106311,-117.0657367,atm,Coinme Bitcoin ATM,1530812391,7/5/2018,Quarter 3,2018,7
32.87115321,-117.2118258,atm,Coinme Bitcoin ATM,1530813251,7/5/2018,Quarter 3,2018,7
36.79337031,-119.8457551,atm,Coinme Bitcoin ATM,1530813851,7/5/2018,Quarter 3,2018,7
32.54352114,-117.0411086,atm,Coinme Bitcoin ATM,1530814357,7/5/2018,Quarter 3,2018,7
32.65600595,-117.0658225,atm,Coinme Bitcoin ATM,1530818779,7/5/2018,Quarter 3,2018,7
34.06819613,-118.3436108,default,La Brea Cleaners,1539975656,10/19/2018,Quarter 4,2018,10
-34.68902912,-58.47838998,transport,OFERTASECTRANJERAS,1540255001,10/23/2018,Quarter 4,2018,10
39.54330116,2.38747716,default,Lava Europa laundry,1553126097,3/20/2019,Quarter 1,2019,3
34.07066681,-117.932353,atm,Coinme Bitcoin ATM,1530819397,7/5/2018,Quarter 3,2018,7
36.71687069,-121.6582203,atm,Coinme Bitcoin ATM,1530820391,7/5/2018,Quarter 3,2018,7
34.04794807,-118.2586437,atm,Coinme Bitcoin ATM,1530820842,7/5/2018,Quarter 3,2018,7
37.32551602,-121.9455385,atm,Coinme Bitcoin ATM,1530822112,7/5/2018,Quarter 3,2018,7
37.78426582,-122.40646,atm,Coinme Bitcoin ATM,1530822446,7/5/2018,Quarter 3,2018,7
46.02098579,14.53944504,default,SI Splet informacijske tehnologije,1565185882,8/7/2019,Quarter 3,2019,8
32.80521269,-116.9675195,atm,Coinme Bitcoin ATM,1530823643,7/5/2018,Quarter 3,2018,7
39.73169639,-105.1596951,atm,Coinme Bitcoin ATM,1530824003,7/5/2018,Quarter 3,2018,7
39.70807807,-104.8235822,atm,Coinme Bitcoin ATM,1530824392,7/5/2018,Quarter 3,2018,7
4.578553164,-74.09613132,shopping,MARLON ROJAS HOMME COUTURE,1553133466,3/21/2019,Quarter 1,2019,3
41.2658803,1.957046986,food,El Avion Restaurant,1553162862,3/21/2019,Quarter 1,2019,3
37.67709534,-97.3990345,atm,Coinme Bitcoin ATM,1530824599,7/5/2018,Quarter 3,2018,7
35.63621485,-106.0148799,atm,Coinme Bitcoin ATM,1530824942,7/5/2018,Quarter 3,2018,7
39.95375466,-83.10915828,atm,Athena Bitcoin Inc.,1553186656,3/21/2019,Quarter 1,2019,3
